"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"GenomicRanges","GenomicRanges","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.36.0",NA,"R (>= 2.10), methods, stats4, BiocGenerics (>= 0.25.3),
S4Vectors (>= 0.19.11), IRanges (>= 2.17.1), GenomeInfoDb (>=
1.15.2)","utils, stats, XVector (>= 0.19.8)","S4Vectors, IRanges","Matrix, Biobase, AnnotationDbi, annotate, Biostrings (>=
2.25.3), SummarizedExperiment (>= 0.1.5), Rsamtools (>=
1.13.53), GenomicAlignments, rtracklayer, BSgenome,
GenomicFeatures, Gviz, VariantAnnotation, AnnotationHub,
DESeq2, DEXSeq, edgeR, KEGGgraph, RNAseqData.HNRNPC.bam.chr14,
pasillaBamSubset, KEGG.db, hgu95av2.db, hgu95av2probe,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Hsapiens.UCSC.hg19,
BSgenome.Mmusculus.UCSC.mm10,
TxDb.Athaliana.BioMart.plantsmart22,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene, RUnit, digest, knitr,
BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.6.0"
"geometry","geometry","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4.1.1",NA,"R (>= 3.0.0)","magic, Rcpp, lpSolve","Rcpp, RcppProgress","spelling, testthat, rgl, R.matlab, tripack",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.0"
"geosphere","geosphere","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.5-10",NA,"R (>= 3.0.0)","sp",NA,"methods, raster",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.0"
"getopt","getopt","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.20.3",NA,NA,"stats",NA,"covr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"GGally","GGally","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4.0",NA,"R (>= 3.1), ggplot2 (> 2.2.0)","grDevices, grid, gtable (>= 0.2.0), plyr (>= 1.8.3), progress,
RColorBrewer, reshape (>= 0.8.5), utils, rlang",NA,"broom (>= 0.4.0), chemometrics, geosphere (>= 1.5-1), igraph
(>= 1.0.1), intergraph (>= 2.0-2), maps (>= 3.1.0), mapproj,
network (>= 1.12.0), scagnostics, scales (>= 0.4.0), sna (>=
2.3-2), survival, packagedocs (>= 0.4.0), rmarkdown, roxygen2,
testthat, crosstalk",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","3.6.0"
"ggbeeswarm","ggbeeswarm","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.6.0",NA,"R (>= 3.0.0), ggplot2 (>= 2.0)","beeswarm, vipor",NA,"gridExtra",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"ggdendro","ggdendro","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1-20",NA,NA,"MASS, ggplot2(>= 0.9.2)",NA,"rpart(>= 4.0-0), tree, testthat, knitr, cluster, scales",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.0"
"ggeffects","ggeffects","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.11.0",NA,"R (>= 3.2), graphics, stats, utils","dplyr, insight (>= 0.4.0), magrittr, MASS, purrr, rlang,
scales, sjlabelled (>= 1.1.0), sjmisc (>= 2.8.0)",NA,"AER, aod, betareg, brms, effects (>= 4.0-0), emmeans, gam,
gamm4, gee, geepack, ggplot2, GLMMadaptive, glmmTMB, httr,
knitr, lme4, logistf, Matrix, MCMCglmm, mgcv, nlme, ordinal,
prediction, pscl, quantreg, rmarkdown, rms, robust, robustbase,
rstanarm, rstantools, sandwich, see, sjstats, survey, survival,
testthat, VGAM",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"ggExtra","ggExtra","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.8",NA,"R (>= 3.1.0)","colourpicker (>= 1.0), ggplot2 (>= 2.2.0), grDevices, grid (>=
3.1.3), gtable (>= 0.2.0), miniUI (>= 0.1.1), scales (>=
0.2.0), shiny (>= 0.13.0), shinyjs (>= 0.5.2), utils",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5), testthat,
vdiffr, fontquiver, svglite, withr, devtools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"ggforce","ggforce","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.2",NA,"ggplot2 (>= 3.0.0), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices","Rcpp, RcppEigen","knitr, rmarkdown, sessioninfo, concaveman, deldir, reshape2,
units (>= 0.4-6)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"ggm","ggm","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.3",NA,"igraph",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"ggplot2","ggplot2","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.2.0",NA,"R (>= 3.2)","digest, grDevices, grid, gtable (>= 0.1.1), lazyeval, MASS,
mgcv, reshape2, rlang (>= 0.3.0), scales (>= 0.5.0), stats,
tibble, viridisLite, withr (>= 2.0.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, maptools, multcomp, munsell, nlme, profvis,
quantreg, rgeos, rmarkdown, rpart, sf (>= 0.7-3), svglite (>=
1.2.0.9001), testthat (>= 0.11.0), vdiffr (>= 0.3.0)","sp","GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"ggplotify","ggplotify","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.0.3",NA,"R (>= 3.4.0)","ggplot2, graphics, grDevices, grid, gridGraphics, rvcheck",NA,"colorspace, cowplot, ggimage, knitr, lattice, prettydoc, vcd",NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.6.0"
"ggpubr","ggpubr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.1",NA,"R (>= 3.1.0), ggplot2, magrittr","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom",NA,"grDevices, knitr, RColorBrewer, gtable",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"ggrepel","ggrepel","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.8.1",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, scales (>= 0.3.0)","Rcpp","knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"ggridges","ggridges","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.5.1",NA,"R (>= 3.2)","ggplot2 (>= 2.2.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)",NA,"covr, dplyr, gridExtra, ggplot2movies, DAAG, forcats, knitr,
rmarkdown, testthat, vdiffr, viridis",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"ggsci","ggsci","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.9",NA,"R (>= 3.0.2)","grDevices, scales, ggplot2 (>= 2.0.0)",NA,"knitr, rmarkdown, gridExtra, reshape2",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"ggsignif","ggsignif","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.5.0",NA,NA,"ggplot2 (>= 2.0.0)",NA,"testthat, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"ggstance","ggstance","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3.2",NA,"R (>= 3.1.0)","ggplot2 (>= 3.2.0), plyr, rlang, withr (>= 2.0.0)",NA,"Hmisc, testthat, vdiffr (>= 0.3.0)",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"ggtern","ggtern","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.1.0",NA,"R (>= 2.10), ggplot2 (>= 3.1.0)","compositions (>= 1.40-2), grid, gridExtra, gtable (>= 0.1.2),
latex2exp (>= 0.4), MASS, plyr (>= 1.8.3), scales (>= 0.3.0),
stats, proto, utils, lattice",NA,NA,"sp","GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"ggtree","ggtree","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.16.3",NA,"R (>= 3.4.0)","ape, dplyr, ggplot2 (>= 3.0.0), grid, magrittr, methods,
purrr, rlang, rvcheck (>= 0.1.0), tidyr, tidytree (>= 0.2.4),
treeio (>= 1.7.3), utils",NA,"emojifont, ggimage, ggplotify, grDevices, knitr, prettydoc,
rmarkdown, scales, testthat, tibble",NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.6.0"
"gh","gh","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.1",NA,NA,"ini, jsonlite, httr",NA,"covr, pingr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"git2r","git2r","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.26.1",NA,"R (>= 3.1)","graphics, utils",NA,"getPass",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"glasso","glasso","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.10",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"glmmTMB","glmmTMB","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.3",NA,"R (>= 3.2.0)","methods, TMB (>= 1.7.13), lme4 (>= 1.1-18.9000), Matrix, nlme","TMB, RcppEigen","knitr, rmarkdown, testthat, MASS, lattice, ggplot2 (>=
2.2.1), mlmRev, bbmle (>= 1.0.19), pscl, coda, reshape2, car,
emmeans, estimability, DHARMa, multcomp, MuMIn, effects,
dotwhisker, broom, plyr, png, boot",NA,"AGPL-3",NA,NA,NA,NA,"yes","3.6.0"
"globals","globals","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.12.4",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.6.0"
"glue","glue","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3.1",NA,"R (>= 3.1)","methods",NA,"testthat, covr, magrittr, crayon, knitr, rmarkdown, DBI,
RSQLite, R.utils, forcats, microbenchmark, rprintf, stringr,
ggplot2, dplyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"gmodels","gmodels","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.18.1",NA,"R (>= 1.9.0)","MASS, gdata",NA,"gplots, gtools, Matrix, nlme, lme4 (>= 0.999999-0)",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"gmp","gmp","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.5-13.5",NA,"R (>= 3.0.0)","methods",NA,"Rmpfr",NA,"GPL",NA,NA,NA,NA,"yes","3.6.0"
"goftest","goftest","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1-1",NA,"R (>= 3.3)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"graph","graph","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.62.0",NA,"R (>= 2.10), methods, BiocGenerics (>= 0.13.11)","stats, stats4, utils",NA,"SparseM (>= 0.36), XML, RBGL, RUnit, cluster","Rgraphviz","Artistic-2.0",NA,NA,NA,NA,"yes","3.6.0"
"graphics","graphics","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.6.0","base",NA,"grDevices",NA,NA,NA,"Part of R 3.6.0",NA,NA,NA,NA,"yes","3.6.0"
"grDevices","grDevices","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.6.0","base",NA,NA,NA,"KernSmooth",NA,"Part of R 3.6.0",NA,NA,NA,NA,"yes","3.6.0"
"greybox","greybox","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.5.3",NA,"R (>= 3.0.2)","forecast, stats, graphics, utils, lamW, numDeriv, nloptr","Rcpp","smooth (>= 2.5.1), doMC, doParallel, foreach, testthat,
rmarkdown, knitr","vars","GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"grid","grid","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.6.0","base",NA,"grDevices, utils",NA,"lattice",NA,"Part of R 3.6.0",NA,NA,NA,NA,"yes","3.6.0"
"gridExtra","gridExtra","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"gridGraphics","gridGraphics","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4-1",NA,"grid, graphics","grDevices",NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"grur","grur","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1.1",NA,"R (>= 3.5.0)","adespatial, ape, cowplot, data.table, dplyr (>= 0.7.0),
ggpubr, magrittr, Matrix, pbmcapply, radiator, tidyverse, vegan",NA,"broom, ggplot2 (>= 3.0.0), knitr, missRanger, parallel,
purrr, randomForestSRC, ranger, readr, rlang, rmarkdown,
rmetasim, stats, stringi, strataG, tibble, tidyr, utils,
xgboost",NA,"GPL (>=2)",NA,NA,NA,NA,"no","3.6.0"
"gsl","gsl","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.1-6",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"gstat","gstat","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.0-2",NA,"R (>= 2.10)","utils, stats, graphics, methods, lattice, sp (>= 0.9-72), zoo,
spacetime (>= 1.0-0), FNN",NA,"fields, maps, mapdata, maptools, rgdal (>= 0.5.2), rgeos, sf
(>= 0.7-2), stars (>= 0.3-0), xts, raster",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"yes","3.6.0"
"gtable","gtable","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3.0",NA,"R (>= 3.0)","grid",NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"gtools","gtools","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.8.1",NA,"methods, stats, utils",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"GUniFrac","GUniFrac","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1",NA,"vegan, ape, matrixStats, stats, R (>= 3.1.0)",NA,NA,"ade4",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"GWASExactHW","GWASExactHW","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.01",NA,NA,NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,NA,"3.6.0"
"haplo.stats","haplo.stats","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.7.9",NA,"R (>= 3.0.0), methods, stats, graphics","rms",NA,"R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"HardyWeinberg","HardyWeinberg","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.6.3",NA,"R (>= 1.8.0), mice, Rsolnp","Rcpp","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"hashmap","hashmap","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.2",NA,"methods","Rcpp (>= 0.12.4)","Rcpp, BH","devtools, microbenchmark, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"haven","haven","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.1.1",NA,"R (>= 3.2)","forcats (>= 0.2.0), hms, Rcpp (>= 0.11.4), readr (>= 0.1.0),
tibble","Rcpp","covr, fs, knitr, rmarkdown, testthat, pillar (>= 1.1.1), cli,
crayon",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"HDF5Array","HDF5Array","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.12.1",NA,"R (>= 3.4), methods, DelayedArray (>= 0.9.3), rhdf5 (>=
2.25.6)","utils, tools, BiocGenerics (>= 0.25.1), S4Vectors, IRanges","S4Vectors (>= 0.21.6), Rhdf5lib","h5vcData, SummarizedExperiment (>= 1.9.6), GenomicRanges,
ExperimentHub, TENxBrainData, BiocParallel, GenomicFeatures,
BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.6.0"
"HDMD","HDMD","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2",NA,"psych, MASS",NA,NA,"scatterplot3d",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"hexbin","hexbin","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.27.3",NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"hierfstat","hierfstat","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.04-22",NA,"R (>= 2.10)","gtools,ade4,adegenet",NA,"ape,pegas, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"highr","highr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.8",NA,"R (>= 3.2.3)",NA,NA,"knitr, testit",NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"Hmisc","Hmisc","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","4.2-0",NA,"lattice, survival (>= 2.40-1), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, acepack, foreign,
gtable, grid, gridExtra, data.table, htmlTable (>= 1.11.0),
viridis, htmltools, base64enc",NA,"chron, rms, mice, tables, knitr, ff, ffbase, plotly (>=
4.5.6), rlang",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"hms","hms","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4.2",NA,NA,"methods, pkgconfig, rlang",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"htmlTable","htmlTable","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.13.1",NA,NA,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xtable, ztable, Hmisc, reshape, rmarkdown,
pander, chron, lubridate, tibble, tidyr (>= 0.7.2), dplyr (>=
0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.0"
"htmltools","htmltools","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3.6",NA,"R (>= 2.14.1)","utils, digest, Rcpp","Rcpp","markdown, testthat","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"htmlwidgets","htmlwidgets","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3",NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",NA,"knitr (>= 1.8)","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"httpuv","httpuv","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.5.1",NA,"R (>= 2.15.1)","Rcpp (>= 0.11.0), utils, R6, promises, later (>= 0.8.0)","Rcpp, BH, later","testthat, callr, curl",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"httr","httr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4.0",NA,"R (>= 3.1)","curl (>= 0.9.1), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"huge","huge","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3.2",NA,"R (>= 3.0.0)","Matrix, igraph, MASS, grDevices, graphics, methods, stats,
utils, Rcpp","Rcpp, RcppEigen",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"hwriter","hwriter","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3.2",NA,"R (>= 2.6.0)",NA,NA,NA,NA,"LGPL-2.1",NA,NA,NA,NA,"no","3.6.0"
"HWxtest","HWxtest","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1.9",NA,"R (>= 2.14)",NA,NA,"ggplot2, rmarkdown, knitr, RefManageR, adegenet, genetics,
parallel",NA,"GPL",NA,NA,NA,NA,"yes","3.6.0"
"igraph","igraph","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2.4.1",NA,"methods","graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
stats, utils",NA,"ape, digest, graph, igraphdata, rgl, scales, stats4, tcltk,
testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"Imap","Imap","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.32",NA,"R (>= 2.10.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.6.0"
"influenceR","influenceR","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1.0",NA,"R (>= 3.2.0)","igraph (>= 1.0.1), Matrix (>= 1.1-4), methods, utils",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"ini","ini","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"inline","inline","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3.15",NA,"R (>= 2.4.0)","methods",NA,"Rcpp (>= 0.11.0)",NA,"LGPL",NA,NA,NA,NA,"no","3.6.0"
"insight","insight","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4.0",NA,"R (>= 3.0), stats, utils",NA,NA,"AER, afex, aod, BayesFactor, bayestestR, betareg, biglm,
blme, brms, censReg, crch, coxme, covr, estimatr, feisr, gam,
gamm4, gamlss, gbm, gee, geepack, GLMMadaptive, glmmTMB, gmnl,
HRQoL, httr, lfe, logistf, MASS, MCMCglmm, mlogit, multgee,
lme4, mgcv, nnet, nlme, ordinal, panelr, plm, pscl, quantreg,
rms, robust, robustbase, robustlmm, rstanarm, rstudioapi,
speedglm, splines, survey, survival, truncreg, testthat, VGAM,
knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"intervals","intervals","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.15.1",NA,"R (>= 2.9.0)","utils, graphics, methods",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.6.0"
"IRanges","IRanges","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.18.1",NA,"R (>= 3.1.0), methods, utils, stats, BiocGenerics (>= 0.25.3),
S4Vectors (>= 0.21.9)","stats4","S4Vectors","XVector, GenomicRanges, Rsamtools, GenomicAlignments,
GenomicFeatures, BSgenome.Celegans.UCSC.ce2, pasillaBamSubset,
RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.6.0"
"IRdisplay","IRdisplay","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.7.0",NA,"R (>= 3.0.1)","methods, repr",NA,"testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"IRkernel","IRkernel","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.1",NA,"R (>= 3.2.0)","repr (>= 0.4.99), methods, evaluate (>= 0.10), IRdisplay (>=
0.3.0.9999), pbdZMQ (>= 0.2-1), crayon, jsonlite (>= 0.9.6),
uuid, digest",NA,"testthat, roxygen2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"iterators","iterators","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.12",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","3.6.0"
"iterpc","iterpc","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4.1",NA,"R (>= 3.0.0)","iterators, gmp (>= 0.5-12), arrangements (>= 1.0.0)",NA,"foreach, testthat, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"jomo","jomo","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.6-8",NA,NA,"stats, lme4, survival, MASS, ordinal",NA,"mitml",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"jose","jose","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0",NA,"openssl (>= 1.2.1)","jsonlite",NA,"spelling, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"jpeg","jpeg","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1-8",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"jsonlite","jsonlite","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.6",NA,"methods",NA,NA,"httr, curl, plyr, testthat, knitr, rmarkdown, R.rsp, sp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"kernlab","kernlab","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.9-27",NA,"R (>= 2.10)","methods, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"KernSmooth","KernSmooth","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.23-15","recommended","R (>= 2.5.0), stats",NA,NA,"MASS",NA,"Unlimited",NA,NA,NA,NA,"yes","3.6.0"
"kfigr","kfigr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2",NA,"R (>= 3.1.0)","knitr (>= 1.6), stats",NA,"ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.0"
"kmerPyramid","kmerPyramid","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.0.31",NA,"R (>= 3.2.3)","pacman (>= 0.4.1), ShortRead (>= 1.28.0), Biostrings (>=
2.38.4), plyr (>= 1.8.4), DBI (>= 0.4-1), htmlwidgets (>= 0.8),
hashmap (>= 0.1.0), rgl (>= 0.96.0), scatterplot3d (>= 0.3-37),
dplyr (>= 0.5.0)",NA,NA,NA,"$license",NA,NA,NA,NA,"no","3.6.0"
